Capital One-Phone-Credit card-Closed with explanation,633
Capital One-Phone-Credit card-Closed with monetary relief,200
Capital One-Phone-Credit card-Closed with non-monetary relief,97
Capital One-Phone-Credit card-Closed with relief,40
Capital One-Phone-Credit card-Closed without relief,106
Capital One-Phone-Credit card-In progress,4
Capital One-Phone-Credit card-Untimely response,1
Capital One-Phone-Credit reporting-Closed,1
Capital One-Phone-Credit reporting-Closed with explanation,2
Capital One-Phone-Debt collection-Closed with explanation,152
Capital One-Phone-Debt collection-Closed with monetary relief,3
Capital One-Phone-Debt collection-Closed with non-monetary relief,11
Capital One-Phone-Debt collection-In progress,2
Capital One-Phone-Mortgage-Closed with explanation,52
Capital One-Phone-Mortgage-Closed with monetary relief,3
Capital One-Phone-Mortgage-Closed with non-monetary relief,4
Capital One-Phone-Mortgage-Closed with relief,1
Capital One-Phone-Mortgage-Closed without relief,6
Capital One-Phone-Others-Closed with explanation,117
Capital One-Phone-Others-Closed with monetary relief,7
Capital One-Phone-Others-Closed with non-monetary relief,7
Capital One-Phone-Others-Closed without relief,2
Capital One-Postal mail-Bank account or service-Closed,3
Capital One-Postal mail-Bank account or service-Closed with explanation,107
Capital One-Postal mail-Bank account or service-Closed with monetary relief,10
Capital One-Postal mail-Bank account or service-Closed with non-monetary relief,5
Capital One-Postal mail-Bank account or service-Closed without relief,1
Capital One-Postal mail-Credit card-Closed,13
Capital One-Postal mail-Credit card-Closed with explanation,463
Capital One-Postal mail-Credit card-Closed with monetary relief,130
Capital One-Postal mail-Credit card-Closed with non-monetary relief,59
Capital One-Postal mail-Credit card-Closed with relief,11
Capital One-Postal mail-Credit card-Closed without relief,37
Capital One-Postal mail-Credit card-In progress,5
Capital One-Postal mail-Credit reporting-Closed with explanation,28
Capital One-Postal mail-Credit reporting-Closed with monetary relief,2
Capital One-Postal mail-Credit reporting-Closed with non-monetary relief,3
Capital One-Postal mail-Debt collection-Closed with explanation,102
Capital One-Postal mail-Debt collection-Closed with monetary relief,1
Capital One-Postal mail-Debt collection-Closed with non-monetary relief,10
Capital One-Postal mail-Debt collection-In progress,1
Capital One-Postal mail-Mortgage-Closed with explanation,51
Capital One-Postal mail-Mortgage-Closed with monetary relief,4
Capital One-Postal mail-Mortgage-Closed with non-monetary relief,5
Capital One-Postal mail-Mortgage-Closed without relief,2
Capital One-Postal mail-Others-Closed,1
Capital One-Postal mail-Others-Closed with explanation,56
Capital One-Postal mail-Others-Closed with monetary relief,4
Capital One-Postal mail-Others-Closed with non-monetary relief,4
Capital One-Postal mail-Others-Closed with relief,1
Capital One-Referral-Bank account or service-Closed,13
Capital One-Referral-Bank account or service-Closed with explanation,580
Capital One-Referral-Bank account or service-Closed with monetary relief,87
Capital One-Referral-Bank account or service-Closed with non-monetary relief,21
Capital One-Referral-Bank account or service-Closed with relief,18
Capital One-Referral-Bank account or service-Closed without relief,22
Capital One-Referral-Bank account or service-Untimely response,1
Capital One-Referral-Credit card-Closed,38
Capital One-Referral-Credit card-Closed with explanation,1099
Capital One-Referral-Credit card-Closed with monetary relief,365
Capital One-Referral-Credit card-Closed with non-monetary relief,133
Capital One-Referral-Credit card-Closed with relief,76
Capital One-Referral-Credit card-Closed without relief,329
Capital One-Referral-Credit card-In progress,3
Capital One-Referral-Credit card-Untimely response,1
Capital One-Referral-Credit reporting-Closed,3
Capital One-Referral-Credit reporting-Closed with explanation,11
Capital One-Referral-Credit reporting-Closed with non-monetary relief,1
Capital One-Referral-Debt collection-Closed with explanation,225
Capital One-Referral-Debt collection-Closed with monetary relief,9
Capital One-Referral-Debt collection-Closed with non-monetary relief,22
Capital One-Referral-Debt collection-In progress,1
Capital One-Referral-Mortgage-Closed,1
Capital One-Referral-Mortgage-Closed with explanation,216
Capital One-Referral-Mortgage-Closed with monetary relief,21
Capital One-Referral-Mortgage-Closed with non-monetary relief,24
Capital One-Referral-Mortgage-Closed with relief,6
Capital One-Referral-Mortgage-Closed without relief,20
Capital One-Referral-Others-Closed with explanation,124
Capital One-Referral-Others-Closed with monetary relief,12
Capital One-Referral-Others-Closed with non-monetary relief,13
Capital One-Referral-Others-Closed with relief,1
Capital One-Referral-Others-Closed without relief,10
Capital One-Web-Bank account or service-Closed,6
Capital One-Web-Bank account or service-Closed with explanation,938
Capital One-Web-Bank account or service-Closed with monetary relief,105
Capital One-Web-Bank account or service-Closed with non-monetary relief,51
Capital One-Web-Bank account or service-Closed with relief,11
Capital One-Web-Bank account or service-Closed without relief,25
Capital One-Web-Bank account or service-In progress,9
Capital One-Web-Credit card-Closed,67
Capital One-Web-Credit card-Closed with explanation,5298
Capital One-Web-Credit card-Closed with monetary relief,1670
Capital One-Web-Credit card-Closed with non-monetary relief,820
Capital One-Web-Credit card-Closed with relief,201
Capital One-Web-Credit card-Closed without relief,510
Capital One-Web-Credit card-In progress,52
Capital One-Web-Credit reporting-Closed,5
Capital One-Web-Credit reporting-Closed with explanation,175
Capital One-Web-Credit reporting-Closed with monetary relief,5
Capital One-Web-Credit reporting-Closed with non-monetary relief,42
Capital One-Web-Credit reporting-In progress,8
Capital One-Web-Debt collection-Closed,6
Capital One-Web-Debt collection-Closed with explanation,1417
Capital One-Web-Debt collection-Closed with monetary relief,39
Capital One-Web-Debt collection-Closed with non-monetary relief,142
Capital One-Web-Debt collection-In progress,21
Capital One-Web-Mortgage-Closed,1
Capital One-Web-Mortgage-Closed with explanation,430
Capital One-Web-Mortgage-Closed with monetary relief,30
Capital One-Web-Mortgage-Closed with non-monetary relief,56
Capital One-Web-Mortgage-Closed with relief,6
Capital One-Web-Mortgage-Closed without relief,27
Capital One-Web-Mortgage-In progress,2
Capital One-Web-Others-Closed,8
Capital One-Web-Others-Closed with explanation,732
Capital One-Web-Others-Closed with monetary relief,57
Capital One-Web-Others-Closed with non-monetary relief,67
Capital One-Web-Others-Closed with relief,2
Capital One-Web-Others-Closed without relief,12
Capital One-Web-Others-In progress,2
Citibank-Email-Bank account or service-Closed with monetary relief,1
Citibank-Email-Credit card-Closed with explanation,4
Citibank-Email-Credit card-Closed with non-monetary relief,1
Citibank-Email-Credit card-Closed with relief,1
Citibank-Email-Mortgage-Closed with explanation,4
Citibank-Email-Mortgage-Closed without relief,2
Citibank-Email-Mortgage-Untimely response,1
Citibank-Email-Others-Closed with explanation,1
Citibank-Fax-Bank account or service-Closed with explanation,46
Citibank-Fax-Bank account or service-Closed with monetary relief,14
Citibank-Fax-Bank account or service-Closed with non-monetary relief,5
Citibank-Fax-Credit card-Closed with explanation,95
Citibank-Fax-Credit card-Closed with monetary relief,51
Citibank-Fax-Credit card-Closed with non-monetary relief,19
Citibank-Fax-Credit card-Closed with relief,1
Citibank-Fax-Credit card-Closed without relief,5
Citibank-Fax-Credit card-In progress,1
Citibank-Fax-Credit reporting-Closed with monetary relief,2
Citibank-Fax-Debt collection-Closed with explanation,30
Citibank-Fax-Debt collection-Closed with monetary relief,6
Citibank-Fax-Debt collection-Closed with non-monetary relief,5
Citibank-Fax-Mortgage-Closed,4
Citibank-Fax-Mortgage-Closed with explanation,166
Citibank-Fax-Mortgage-Closed with monetary relief,6
Citibank-Fax-Mortgage-Closed with non-monetary relief,16
Citibank-Fax-Mortgage-Closed with relief,1
Citibank-Fax-Mortgage-Closed without relief,3
Citibank-Fax-Mortgage-In progress,1
Citibank-Fax-Others-Closed with explanation,16
Citibank-Fax-Others-Closed with monetary relief,2
Citibank-Fax-Others-Closed without relief,1
Citibank-Phone-Bank account or service-Closed with explanation,260
Citibank-Phone-Bank account or service-Closed with monetary relief,72
Citibank-Phone-Bank account or service-Closed with non-monetary relief,31
Citibank-Phone-Bank account or service-Closed with relief,1
Citibank-Phone-Bank account or service-Closed without relief,10
Citibank-Phone-Bank account or service-In progress,1
Citibank-Phone-Credit card-Closed,1
Citibank-Phone-Credit card-Closed with explanation,605
Citibank-Phone-Credit card-Closed with monetary relief,347
Citibank-Phone-Credit card-Closed with non-monetary relief,129
Citibank-Phone-Credit card-Closed with relief,31
Citibank-Phone-Credit card-Closed without relief,88
Citibank-Phone-Credit card-In progress,2
Citibank-Phone-Credit card-Untimely response,1
Citibank-Phone-Debt collection-Closed,1
Citibank-Phone-Debt collection-Closed with explanation,168
Citibank-Phone-Debt collection-Closed with monetary relief,13
Citibank-Phone-Debt collection-Closed with non-monetary relief,48
Citibank-Phone-Debt collection-In progress,2
Citibank-Phone-Mortgage-Closed,5
Citibank-Phone-Mortgage-Closed with explanation,443
Citibank-Phone-Mortgage-Closed with monetary relief,24
Citibank-Phone-Mortgage-Closed with non-monetary relief,53
Citibank-Phone-Mortgage-Closed with relief,10
Citibank-Phone-Mortgage-Closed without relief,17
Citibank-Phone-Mortgage-In progress,1
Citibank-Phone-Mortgage-Untimely response,4
Citibank-Phone-Others-Closed with explanation,105
Citibank-Phone-Others-Closed with monetary relief,15
Citibank-Phone-Others-Closed with non-monetary relief,21
Citibank-Phone-Others-Closed without relief,5
Citibank-Postal mail-Bank account or service-Closed with explanation,139
